                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM59796v1:Chromosome:1:2764699:1 REF
Sequence file: seq.fna
Sequence length: 2764699
GC Content:  32.92%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
   13004     13174  complement  fr 1   0.67  0.00  

   13346     14080  complement  fr 1   0.83  0.13  
   13346     14074  complement  fr 1   0.84  0.23  
   13346     13939  complement  fr 1   0.87  0.09  
   13346     13933  complement  fr 1   0.87  0.13  
   13346     13912  complement  fr 1   0.86  0.54  

   14142     14345  complement  fr 2   0.66  0.03  
   14142     14267  complement  fr 2   0.65  0.04  
   14142     14246  complement  fr 2   0.62  0.00  

   14504     15112  complement  fr 1   0.66  0.01  
   14504     15109  complement  fr 1   0.66  0.00  
   14504     14965  complement  fr 1   0.72  0.04  
   14504     14917  complement  fr 1   0.69  0.37  
   14504     14905  complement  fr 1   0.68  0.31  

   15122     15970  complement  fr 1   0.89  0.02  
   15122     15868  complement  fr 1   0.92  0.40  
   15122     15769  complement  fr 1   0.93  0.00  
   15122     15715  complement  fr 1   0.92  0.09  

   15997     17073  complement  fr 3   0.89  0.72  
   15997     16998  complement  fr 3   0.93  0.37  
   15997     16986  complement  fr 3   0.93  0.59  
   15997     16785  complement  fr 3   0.92  0.00  
   15997     16635  complement  fr 3   0.91  0.09  

   17073     17516  complement  fr 2   0.79  0.72  

   17965     19017  direct      fr 1   0.91  0.92  
   18019     19017  direct      fr 1   0.94  0.04  
   18034     19017  direct      fr 1   0.94  0.01  
   18181     19017  direct      fr 1   0.92  0.01  

   19220     21157  direct      fr 2   0.95  0.48  
   19316     21157  direct      fr 2   0.97  0.84  
   19682     21157  direct      fr 2   0.97  0.00  
   19979     21157  direct      fr 2   0.97  0.25  

   21311     21484  complement  fr 1   0.53  0.43  

   21564     22121  complement  fr 2   0.85  0.97  
   21564     22058  complement  fr 2   0.90  0.08  
   21564     21932  complement  fr 2   0.86  0.00  
   21564     21791  complement  fr 2   0.79  0.00  

   22200     23273  direct      fr 3   0.79  0.08  
   22248     23273  direct      fr 3   0.82  0.01  
   22356     23273  direct      fr 3   0.88  0.17  
   22374     23273  direct      fr 3   0.87  0.48  
   22419     23273  direct      fr 3   0.87  0.03  

   23450     23932  complement  fr 1   0.81  0.45  
   23450     23776  complement  fr 1   0.84  0.01  
   23450     23617  complement  fr 1   0.70  0.07  
   23450     23578  complement  fr 1   0.63  0.14  

   23934     24485  complement  fr 2   0.85  0.97  
   23934     24476  complement  fr 2   0.87  1.00  
   23934     24431  complement  fr 2   0.89  0.02  
   23934     24404  complement  fr 2   0.88  0.01  
   23934     24362  complement  fr 2   0.87  0.01  

   24546     24935  direct      fr 3   0.79  0.99  
   24600     24935  direct      fr 3   0.82  0.02  
   24606     24935  direct      fr 3   0.82  0.05  
   24696     24935  direct      fr 3   0.76  0.07  

   24938     25192  complement  fr 1   0.57  0.23  
   24938     25147  complement  fr 1   0.70  0.27  
   24938     25075  complement  fr 1   0.56  0.01  
   24938     25069  complement  fr 1   0.56  0.18  

   25431     26357  direct      fr 3   0.92  0.90  
   25500     26357  direct      fr 3   0.95  0.04  
   25518     26357  direct      fr 3   0.95  0.07  
   25593     26357  direct      fr 3   0.95  0.04  

   26420     26854  complement  fr 1   0.80  0.99  
   26420     26800  complement  fr 1   0.84  0.00  
   26420     26677  complement  fr 1   0.77  0.28  
   26420     26638  complement  fr 1   0.72  0.05  

   26870     27907  complement  fr 1   0.86  0.48  
   26870     27769  complement  fr 1   0.93  0.05  
   26870     27691  complement  fr 1   0.92  0.00  
   26870     27625  complement  fr 1   0.91  0.02  

   28234     28704  complement  fr 3   0.83  0.93  
   28234     28695  complement  fr 3   0.83  0.85  
   28234     28578  complement  fr 3   0.87  0.89  

   28720     29631  complement  fr 3   0.87  0.20  
   28720     29559  complement  fr 3   0.91  0.74  
   28720     29499  complement  fr 3   0.90  0.00  
   28720     29454  complement  fr 3   0.90  0.85  

   29912     30982  direct      fr 2   0.77  0.00  
   30062     30982  direct      fr 2   0.90  0.66  
   30119     30982  direct      fr 2   0.92  0.08  
   30122     30982  direct      fr 2   0.91  0.05  
   30287     30982  direct      fr 2   0.90  0.36  

   31122     34343  complement  fr 2   0.98  0.00  
   31122     34232  complement  fr 2   0.98  0.00  
   31122     34100  complement  fr 2   0.98  0.00  

   35128     36366  complement  fr 3   0.84  0.41  
   35128     36354  complement  fr 3   0.85  0.02  
   35128     36252  complement  fr 3   0.87  0.02  
   35128     36249  complement  fr 3   0.87  0.05  
   35128     36231  complement  fr 3   0.87  0.07  

   36668     36943  complement  fr 1   0.79  0.99  
   36668     36925  complement  fr 1   0.82  0.24  
   36668     36799  complement  fr 1   0.66  0.04  

   37027     37566  direct      fr 1   0.70  0.01  
   37054     37566  direct      fr 1   0.73  0.02  
   37084     37566  direct      fr 1   0.78  0.10  
   37306     37566  direct      fr 1   0.78  0.82  
   37333     37566  direct      fr 1   0.79  0.07  

   37875     39758  complement  fr 2   0.94  0.12  
   37875     39722  complement  fr 2   0.96  0.57  
   37875     39587  complement  fr 2   0.97  0.00  
   37875     39449  complement  fr 2   0.96  0.00  
   37875     39443  complement  fr 2   0.96  0.00  

   40169     41014  complement  fr 1   0.89  0.99  
   40169     40996  complement  fr 1   0.90  1.00  
   40169     40933  complement  fr 1   0.91  0.00  
   40169     40642  complement  fr 1   0.86  0.01  
   40169     40399  complement  fr 1   0.73  0.16  

   41153     41767  direct      fr 2   0.85  0.65  
   41219     41767  direct      fr 2   0.91  0.03  
   41345     41767  direct      fr 2   0.89  0.04  
   41402     41767  direct      fr 2   0.88  0.04  

   41951     43303  direct      fr 2   0.82  0.96  
   42092     43303  direct      fr 2   0.85  0.06  
   42119     43303  direct      fr 2   0.85  0.02  
   42185     43303  direct      fr 2   0.84  0.43  

   43382     43801  complement  fr 1   0.70  0.97  
   43382     43777  complement  fr 1   0.74  0.46  
   43382     43732  complement  fr 1   0.72  0.05  
   43382     43633  complement  fr 1   0.61  0.03  

   44084     45103  complement  fr 1   0.80  0.98  
   44084     45025  complement  fr 1   0.81  0.03  
   44084     45022  complement  fr 1   0.81  0.07  
   44084     45013  complement  fr 1   0.81  0.02  

   45177     46250  complement  fr 2   0.90  0.93  
   45177     46211  complement  fr 2   0.93  0.14  
   45177     46205  complement  fr 2   0.93  0.06  
   45177     46160  complement  fr 2   0.94  0.03  

   46250     47068  complement  fr 1   0.77  0.07  
   46250     47059  complement  fr 1   0.78  0.06  
   46250     46990  complement  fr 1   0.85  0.23  
   46250     46960  complement  fr 1   0.86  0.40  
   46250     46897  complement  fr 1   0.86  0.03  

   47065     47862  complement  fr 3   0.67  0.03  
   47065     47817  complement  fr 3   0.71  0.35  
   47065     47700  complement  fr 3   0.73  0.07  
   47065     47589  complement  fr 3   0.77  0.07  
   47065     47583  complement  fr 3   0.77  0.18  
   47065     47511  complement  fr 3   0.80  0.02  
   47065     47436  complement  fr 3   0.79  0.19  
   47065     47409  complement  fr 3   0.78  0.02  

   47855     48769  complement  fr 1   0.93  0.01  
   47855     48718  complement  fr 1   0.93  0.00  
   47855     48547  complement  fr 1   0.91  0.38  

   48962     49501  complement  fr 1   0.77  0.14  
   48962     49372  complement  fr 1   0.81  0.09  
   48962     49345  complement  fr 1   0.80  0.16  
   48962     49201  complement  fr 1   0.68  0.04  

   49645     49935  complement  fr 3   0.77  0.98  
   49645     49920  complement  fr 3   0.78  0.69  
   49645     49875  complement  fr 3   0.75  0.00  
   49645     49866  complement  fr 3   0.73  0.00  

   50088     51494  complement  fr 2   0.96  0.94  
   50088     51107  complement  fr 2   0.95  0.07  
   50088     50840  complement  fr 2   0.94  0.00  
   50088     50816  complement  fr 2   0.93  0.00  

   51498     52790  complement  fr 2   0.95  1.00  
   51498     52613  complement  fr 2   0.97  0.09  
   51498     52541  complement  fr 2   0.97  0.00  
   51498     52412  complement  fr 2   0.96  0.00  

   52881     53858  complement  fr 2   0.94  0.99  
   52881     53849  complement  fr 2   0.95  0.98  
   52881     53843  complement  fr 2   0.95  0.98  

   53862     54974  complement  fr 2   0.95  0.81  
   53862     54905  complement  fr 2   0.99  0.14  
   53862     54821  complement  fr 2   0.99  0.00  
   53862     54812  complement  fr 2   0.99  0.00  

   55145     55786  complement  fr 1   0.87  0.48  
   55145     55771  complement  fr 1   0.88  0.76  
   55145     55672  complement  fr 1   0.91  0.02  

   56064     56687  direct      fr 3   0.82  0.06  
   56127     56687  direct      fr 3   0.92  0.96  
   56136     56687  direct      fr 3   0.92  0.93  
   56145     56687  direct      fr 3   0.94  0.96  
   56244     56687  direct      fr 3   0.93  0.00  
   56349     56687  direct      fr 3   0.91  0.00  

   57169     57387  direct      fr 1   0.63  0.12  
   57217     57387  direct      fr 1   0.73  0.87  

   57387     59084  direct      fr 3   0.94  0.99  
   57633     59084  direct      fr 3   0.95  0.01  
   57765     59084  direct      fr 3   0.95  0.03  
   57927     59084  direct      fr 3   0.94  0.65  

   59330     59992  complement  fr 1   0.90  0.99  
   59330     59917  complement  fr 1   0.91  0.01  
   59330     59908  complement  fr 1   0.91  0.01  
   59330     59881  complement  fr 1   0.91  0.00  

   60125     61144  complement  fr 1   0.78  0.21  
   60125     61117  complement  fr 1   0.80  0.02  
   60125     60862  complement  fr 1   0.81  0.37  
   60125     60796  complement  fr 1   0.79  0.01  
   60125     60790  complement  fr 1   0.79  0.00  

   61141     62502  complement  fr 3   0.84  0.78  
   61141     62466  complement  fr 3   0.86  1.00  
   61141     62421  complement  fr 3   0.87  0.00  
   61141     62412  complement  fr 3   0.86  0.00  
   61141     62355  complement  fr 3   0.86  0.01  

   62826     62933  direct      fr 3   0.55  0.02  

   63170     64888  complement  fr 1   0.96  0.76  
   63170     64531  complement  fr 1   0.96  0.05  
   63170     64516  complement  fr 1   0.96  0.18  
   63170     64474  complement  fr 1   0.96  0.00  

   64891     65157  complement  fr 3   0.77  0.86  
   64891     65097  complement  fr 3   0.76  0.01  
   64891     65016  complement  fr 3   0.61  0.07  
   64891     65007  complement  fr 3   0.61  0.04  

   65311     65853  complement  fr 3   0.87  0.73  
   65311     65763  complement  fr 3   0.87  0.15  
   65311     65691  complement  fr 3   0.85  0.06  
   65311     65679  complement  fr 3   0.84  0.21  

   65907     67079  complement  fr 2   0.93  0.37  
   65907     66959  complement  fr 2   0.93  0.09  
   65907     66848  complement  fr 2   0.93  0.14  
   65907     66500  complement  fr 2   0.89  0.02  

   67504     68808  complement  fr 3   0.80  0.00  
   67504     68799  complement  fr 3   0.80  0.01  
   67504     68652  complement  fr 3   0.82  0.00  
   67504     68607  complement  fr 3   0.82  0.16  
   67504     68565  complement  fr 3   0.81  0.17  

   68951     69085  direct      fr 2   0.71  1.00  

   69921     70496  direct      fr 3   0.80  0.38  
   70020     70496  direct      fr 3   0.87  0.09  
   70071     70496  direct      fr 3   0.91  0.80  
   70161     70496  direct      fr 3   0.89  0.02  

   70511     71911  direct      fr 2   0.94  0.92  
   70691     71911  direct      fr 2   0.96  0.31  
   70763     71911  direct      fr 2   0.96  0.04  
   70826     71911  direct      fr 2   0.95  0.00  

   71895     72710  direct      fr 3   0.51  0.09  
   71904     72710  direct      fr 3   0.51  0.58  
   72003     72710  direct      fr 3   0.58  0.05  
   72021     72710  direct      fr 3   0.59  0.09  
   72042     72710  direct      fr 3   0.61  0.63  
   72060     72710  direct      fr 3   0.62  0.20  
   72141     72710  direct      fr 3   0.66  0.45  
   72294     72710  direct      fr 3   0.63  0.04  
   72312     72710  direct      fr 3   0.62  0.75  

   72977     74224  complement  fr 1   0.92  0.99  
   72977     74116  complement  fr 1   0.95  0.01  
   72977     73957  complement  fr 1   0.94  0.06  
   72977     73894  complement  fr 1   0.94  0.03  

   74246     75733  complement  fr 1   0.94  0.71  
   74246     75727  complement  fr 1   0.95  0.94  
   74246     75724  complement  fr 1   0.95  0.89  
   74246     75553  complement  fr 1   0.96  0.21  
   74246     75439  complement  fr 1   0.96  0.01  
   74246     75388  complement  fr 1   0.96  0.10  

   75739     76305  complement  fr 3   0.86  0.96  
   75739     76035  complement  fr 3   0.81  0.01  
   75739     75873  complement  fr 3   0.60  0.01  

   76308     77336  complement  fr 2   0.93  1.00  
   76308     77273  complement  fr 2   0.95  0.00  
   76308     77249  complement  fr 2   0.95  0.00  
   76308     77183  complement  fr 2   0.95  0.00  

   77329     78834  complement  fr 3   0.93  0.07  
   77329     78813  complement  fr 3   0.95  0.97  
   77329     78777  complement  fr 3   0.95  0.40  
   77329     78732  complement  fr 3   0.95  0.00  
   77329     78609  complement  fr 3   0.95  0.00  

   78792     80981  complement  fr 2   0.96  0.98  
   78792     80921  complement  fr 2   0.96  0.01  
   78792     80834  complement  fr 2   0.96  0.00  
   78792     80762  complement  fr 2   0.96  0.12  

   80974     81669  complement  fr 3   0.85  0.00  
   80974     81666  complement  fr 3   0.85  0.02  
   80974     81654  complement  fr 3   0.86  0.18  
   80974     81645  complement  fr 3   0.88  0.29  
   80974     81597  complement  fr 3   0.91  0.71  
   80974     81465  complement  fr 3   0.89  0.02  
   80974     81291  complement  fr 3   0.83  0.17  

   81647     81910  complement  fr 1   0.81  0.98  
   81647     81811  complement  fr 1   0.71  0.00  
   81647     81778  complement  fr 1   0.63  0.00  

   81910     82614  complement  fr 3   0.86  0.72  
   81910     82497  complement  fr 3   0.89  0.01  
   81910     82374  complement  fr 3   0.87  0.01  
   81910     82143  complement  fr 3   0.75  0.08  

   82618     83742  complement  fr 3   0.89  0.98  
   82618     83676  complement  fr 3   0.90  0.00  
   82618     83673  complement  fr 3   0.90  0.00  
   82618     83652  complement  fr 3   0.90  0.02  

   83729     84220  complement  fr 1   0.76  0.51  
   83729     84211  complement  fr 1   0.78  0.60  
   83729     84193  complement  fr 1   0.80  0.02  
   83729     84166  complement  fr 1   0.84  0.02  
   83729     84148  complement  fr 1   0.84  0.68  
   83729     84085  complement  fr 1   0.84  0.05  
   83729     84082  complement  fr 1   0.83  0.06  

   84412     85272  direct      fr 1   0.94  1.00  
   84595     85272  direct      fr 1   0.94  0.02  
   84766     85272  direct      fr 1   0.92  0.00  
   84847     85272  direct      fr 1   0.91  0.66  

   86136     86453  direct      fr 3   0.78  0.47  

   87024     88124  direct      fr 3   0.79  0.01  
   87162     88124  direct      fr 3   0.86  0.04  
   87192     88124  direct      fr 3   0.87  0.03  
   87249     88124  direct      fr 3   0.91  0.16  
   87378     88124  direct      fr 3   0.94  0.09  

   88124     90112  direct      fr 2   0.94  0.99  
   88166     90112  direct      fr 2   0.96  0.01  
   88175     90112  direct      fr 2   0.96  0.01  
   88298     90112  direct      fr 2   0.96  0.02  

   90102     90707  direct      fr 3   0.74  0.95  
   90258     90707  direct      fr 3   0.76  0.00  
   90297     90707  direct      fr 3   0.74  0.28  
   90351     90707  direct      fr 3   0.74  0.16  

   90704     90994  direct      fr 2   0.63  0.77  
   90716     90994  direct      fr 2   0.66  0.93  
   90860     90994  direct      fr 2   0.66  0.01  
   90866     90994  direct      fr 2   0.63  0.03  

   91531     92724  complement  fr 3   0.85  0.02  
   91531     92568  complement  fr 3   0.93  0.23  
   91531     92421  complement  fr 3   0.92  0.22  
   91531     92361  complement  fr 3   0.91  0.00  

   93175     94392  direct      fr 1   0.90  0.00  
   93442     94392  direct      fr 1   0.98  0.03  
   93484     94392  direct      fr 1   0.98  0.24  
   93583     94392  direct      fr 1   0.98  0.05  

   94422     94910  direct      fr 3   0.77  0.39  
   94440     94910  direct      fr 3   0.79  0.62  
   94482     94910  direct      fr 3   0.85  0.59  
   94491     94910  direct      fr 3   0.85  0.49  
   94524     94910  direct      fr 3   0.84  0.00  

   95050     95499  direct      fr 1   0.69  0.01  
   95065     95499  direct      fr 1   0.73  0.17  
   95092     95499  direct      fr 1   0.77  0.50  
   95125     95499  direct      fr 1   0.80  0.94  
   95281     95499  direct      fr 1   0.69  0.75  
   95284     95499  direct      fr 1   0.69  0.62  

   95706     99473  direct      fr 3   0.93  0.02  
   95727     99473  direct      fr 3   0.94  0.68  
   95760     99473  direct      fr 3   0.95  0.97  
   96543     99473  direct      fr 3   0.95  0.02  
   96714     99473  direct      fr 3   0.95  0.05  
   96933     99473  direct      fr 3   0.95  0.30  

   99680    100099  complement  fr 1   0.64  0.33  
   99680    100045  complement  fr 1   0.70  0.20  
   99680     99943  complement  fr 1   0.67  0.01  

  100252    101262  direct      fr 1   0.58  0.45  
  100330    101262  direct      fr 1   0.60  0.10  
  100399    101262  direct      fr 1   0.57  0.14  
  100495    101262  direct      fr 1   0.53  0.13  
  100861    101262  direct      fr 1   0.52  0.95  

  101449    102612  direct      fr 1   0.86  0.06  
  101458    102612  direct      fr 1   0.86  0.03  
  101527    102612  direct      fr 1   0.89  0.25  
  101581    102612  direct      fr 1   0.89  0.31  
  101593    102612  direct      fr 1   0.89  0.36  

  103140    104168  direct      fr 3   0.87  0.35  
  103203    104168  direct      fr 3   0.93  0.73  
  103242    104168  direct      fr 3   0.94  0.53  
  103692    104168  direct      fr 3   0.89  0.00  
  103770    104168  direct      fr 3   0.86  0.01  

  104250    105431  direct      fr 3   0.90  0.03  
  104298    105431  direct      fr 3   0.94  0.52  
  104307    105431  direct      fr 3   0.94  0.68  
  104643    105431  direct      fr 3   0.95  0.03  
  104991    105431  direct      fr 3   0.90  0.05  
  105048    105431  direct      fr 3   0.89  0.04  

  105469    105798  direct      fr 1   0.62  0.03  

  106036    106857  complement  fr 3   0.95  0.76  
  106036    106725  complement  fr 3   0.99  0.05  
  106036    106521  complement  fr 3   0.99  0.00  
  106036    106302  complement  fr 3   0.99  0.03  

  106850    107653  complement  fr 1   0.86  0.47  
  106850    107482  complement  fr 1   0.91  0.00  
  106850    107386  complement  fr 1   0.89  0.62  
  106850    107110  complement  fr 1   0.79  0.94  

  107640    109313  complement  fr 2   0.93  0.89  
  107640    108938  complement  fr 2   0.95  0.00  
  107640    108905  complement  fr 2   0.94  0.45  
  107640    108854  complement  fr 2   0.94  0.07  

  109300    110670  complement  fr 3   0.87  0.74  
  109300    110661  complement  fr 3   0.88  0.89  
  109300    110586  complement  fr 3   0.88  0.01  
  109300    110511  complement  fr 3   0.90  0.44  
  109300    110181  complement  fr 3   0.90  0.15  

  110843    111781  direct      fr 2   0.90  0.91  
  110894    111781  direct      fr 2   0.93  0.09  
  111008    111781  direct      fr 2   0.92  0.29  
  111047    111781  direct      fr 2   0.92  0.13  

  111833    112384  complement  fr 1   0.88  0.97  
  111833    112330  complement  fr 1   0.87  0.01  
  111833    112315  complement  fr 1   0.87  0.23  

  112549    112764  direct      fr 1   0.65  0.69  

  113005    113964  complement  fr 3   0.95  0.41  
  113005    113937  complement  fr 3   0.96  0.61  
  113005    113931  complement  fr 3   0.96  0.64  
  113005    113868  complement  fr 3   0.96  0.00  

  114431    114808  direct      fr 2   0.68  0.68  
  114449    114808  direct      fr 2   0.72  0.93  
  114452    114808  direct      fr 2   0.72  0.87  
  114464    114808  direct      fr 2   0.75  0.69  
  114482    114808  direct      fr 2   0.73  0.39  
  114503    114808  direct      fr 2   0.72  0.07  

  114897    115034  complement  fr 2   0.59  0.12  

  115553    116194  complement  fr 1   0.86  0.48  
  115553    115759  complement  fr 1   0.86  0.05  
  115553    115756  complement  fr 1   0.86  0.03  
  115553    115735  complement  fr 1   0.84  0.01  

  116191    116511  complement  fr 3   0.68  0.54  
  116191    116385  complement  fr 3   0.66  0.21  

  116514    118478  complement  fr 2   0.61  0.10  
  116514    118091  complement  fr 2   0.61  0.14  
  116514    118025  complement  fr 2   0.60  0.02  
  116514    118022  complement  fr 2   0.60  0.01  

  119821    120423  complement  fr 3   0.60  0.09  
  119821    120351  complement  fr 3   0.68  0.57  
  119821    120306  complement  fr 3   0.69  0.38  
  119821    120201  complement  fr 3   0.64  0.00  
  119821    120105  complement  fr 3   0.55  0.00  

  120438    120614  complement  fr 2   0.56  0.99  
  120438    120599  complement  fr 2   0.61  0.99  
  120438    120578  complement  fr 2   0.63  0.06  

  120813    121799  direct      fr 3   0.91  0.69  
  120864    121799  direct      fr 3   0.93  0.24  
  121221    121799  direct      fr 3   0.93  0.00  
  121242    121799  direct      fr 3   0.92  0.01  

  121880    122107  complement  fr 1   0.59  0.61  
  121880    122098  complement  fr 1   0.63  0.58  

  122308    122877  direct      fr 1   0.56  0.23  
  122329    122877  direct      fr 1   0.58  0.94  
  122347    122877  direct      fr 1   0.59  0.94  

  123364    124878  complement  fr 3   0.89  0.87  
  123364    124875  complement  fr 3   0.89  0.90  
  123364    124827  complement  fr 3   0.90  0.09  
  123364    124650  complement  fr 3   0.89  0.03  
  123364    124638  complement  fr 3   0.89  0.31  

  125014    126381  complement  fr 3   0.86  0.01  
  125014    126372  complement  fr 3   0.87  0.44  
  125014    126132  complement  fr 3   0.86  0.27  
  125014    126102  complement  fr 3   0.86  0.51  
  125014    126087  complement  fr 3   0.86  0.04  

  126389    128713  complement  fr 1   0.94  0.96  
  126389    128698  complement  fr 1   0.95  0.95  
  126389    128353  complement  fr 1   0.95  0.01  
  126389    128260  complement  fr 1   0.95  0.19  
  126389    128131  complement  fr 1   0.95  0.21  

  128932    129735  complement  fr 3   0.90  0.96  
  128932    129729  complement  fr 3   0.91  0.98  
  128932    129639  complement  fr 3   0.92  0.03  
  128932    129630  complement  fr 3   0.91  0.00  
  128932    129477  complement  fr 3   0.90  0.06  

  130037    131599  complement  fr 1   0.95  0.90  
  130037    131431  complement  fr 1   0.96  0.02  
  130037    131386  complement  fr 1   0.95  0.01  
  130037    131299  complement  fr 1   0.95  0.00  

  131599    131862  complement  fr 3   0.64  0.19  
  131599    131859  complement  fr 3   0.64  0.55  
  131599    131739  complement  fr 3   0.61  0.26  
  131599    131733  complement  fr 3   0.58  0.22  

  131840    133132  complement  fr 1   0.96  0.57  
  131840    133090  complement  fr 1   0.96  0.01  
  131840    133084  complement  fr 1   0.96  0.01  

  133757    134932  direct      fr 2   0.82  0.93  
  133814    134932  direct      fr 2   0.83  0.04  
  133853    134932  direct      fr 2   0.83  0.12  
  133895    134932  direct      fr 2   0.82  0.05  

  134892    136100  direct      fr 3   0.66  0.08  
  134910    136100  direct      fr 3   0.67  0.19  
  134961    136100  direct      fr 3   0.70  0.39  
  134982    136100  direct      fr 3   0.71  0.17  
  135000    136100  direct      fr 3   0.71  0.05  
  135240    136100  direct      fr 3   0.76  0.82  
  135243    136100  direct      fr 3   0.76  0.70  
  135279    136100  direct      fr 3   0.75  0.04  

  136213    136722  complement  fr 3   0.88  0.99  
  136213    136674  complement  fr 3   0.90  0.00  
  136213    136620  complement  fr 3   0.88  0.24  
  136213    136482  complement  fr 3   0.82  0.14  

  136916    137674  complement  fr 1   0.86  0.69  
  136916    137221  complement  fr 1   0.84  0.24  

  137819    139435  complement  fr 1   0.92  0.00  
  137819    139387  complement  fr 1   0.95  0.49  
  137819    139309  complement  fr 1   0.96  0.01  
  137819    139291  complement  fr 1   0.96  0.01  
  137819    139258  complement  fr 1   0.97  0.48  

  139729    140814  direct      fr 1   0.75  0.00  
  139771    140814  direct      fr 1   0.78  0.06  
  139798    140814  direct      fr 1   0.79  0.82  
  139804    140814  direct      fr 1   0.80  0.64  
  139954    140814  direct      fr 1   0.88  0.18  
  140095    140814  direct      fr 1   0.86  0.01  

  141011    141781  complement  fr 1   0.93  0.76  
  141011    141748  complement  fr 1   0.96  0.61  
  141011    141487  complement  fr 1   0.94  0.04  
  141011    141400  complement  fr 1   0.93  0.07  

  142059    143903  complement  fr 2   0.88  0.61  
  142059    143795  complement  fr 2   0.90  0.00  
  142059    143786  complement  fr 2   0.90  0.00  
  142059    143705  complement  fr 2   0.92  0.68  

  143913    145298  complement  fr 2   0.94  0.99  
  143913    145292  complement  fr 2   0.95  0.94  
  143913    145031  complement  fr 2   0.94  0.01  
  143913    144995  complement  fr 2   0.94  0.09  

  145319    146173  complement  fr 1   0.72  0.57  
  145319    146095  complement  fr 1   0.76  0.27  
  145319    146026  complement  fr 1   0.76  0.14  
  145319    145765  complement  fr 1   0.64  0.00  

  146170    146979  complement  fr 3   0.86  0.53  
  146170    146922  complement  fr 3   0.91  0.52  
  146170    146919  complement  fr 3   0.91  0.72  
  146170    146910  complement  fr 3   0.91  0.75  

  146996    147631  complement  fr 1   0.92  0.99  
  146996    147574  complement  fr 1   0.93  0.01  
  146996    147559  complement  fr 1   0.93  0.01  

  147648    148031  complement  fr 2   0.73  0.01  
  147648    147995  complement  fr 2   0.81  0.33  
  147648    147902  complement  fr 2   0.81  0.01  
  147648    147809  complement  fr 2   0.71  0.01  

  148181    148774  direct      fr 2   0.76  0.93  
  148214    148774  direct      fr 2   0.81  0.12  
  148268    148774  direct      fr 2   0.83  0.06  
  148370    148774  direct      fr 2   0.87  0.04  
  148439    148774  direct      fr 2   0.85  0.06  

  148878    149243  direct      fr 3   0.77  0.99  
  148926    149243  direct      fr 3   0.85  0.00  
